age,income,loan_amount,credit_score,years_employed,num_credit_lines,debt_ratio,defaulted
67,12306.0,24806.68,799,7,0,0.03,0
52,30813.0,28059.28,665,11,4,0.09,1
40,64652.0,35272.11,639,17,2,0.73,0
34,28021.0,22420.87,634,17,6,0.76,0
43,21183.0,16308.85,626,8,1,0.54,0
25,26414.0,12479.02,413,4,2,0.59,1
46,35097.0,20726.34,717,20,1,0.61,0
43,23726.0,38381.29,767,16,2,0.1,0
27,67300.0,39051.72,442,12,4,0.67,0
43,35160.0,35010.74,608,5,5,0.48,1
51,27508.0,15531.27,700,23,1,0.6,1
68,18946.0,31463.88,619,21,6,0.56,0
58,46269.0,30681.03,511,13,7,0.76,0
24,45745.0,26791.98,616,14,2,0.32,1
21,24438.0,29749.05,484,22,2,0.37,0
67,11871.0,27130.58,504,13,6,0.39,0
62,44595.0,30445.54,663,3,4,0.76,0
28,33077.0,37197.77,515,17,5,0.43,0
46,42960.0,9933.27,545,0,2,0.18,1
53,96624.0,38733.16,538,11,1,0.98,0
42,35832.0,11114.88,690,21,5,0.49,0
38,28088.0,7998.26,819,8,6,0.11,0
53,20462.0,48923.59,576,9,3,0.67,0
27,31064.0,48064.63,501,20,2,0.74,0
54,39351.0,7719.64,513,27,2,0.5,0
26,37296.0,24946.4,777,17,4,0.65,0
41,85968.0,13381.02,807,16,5,0.17,0
52,46609.0,26840.52,374,18,4,0.37,1
66,33948.0,42357.98,441,3,7,0.16,0
52,25507.0,47777.53,621,15,2,0.39,0
65,41495.0,33541.37,760,6,3,0.56,0
53,23075.0,20925.76,445,8,4,0.44,0
35,39732.0,32149.65,353,7,2,0.59,0
66,46338.0,19040.06,655,24,2,0.5,0
56,32590.0,45942.06,576,6,3,0.32,0
49,26499.0,44168.02,699,9,1,0.14,0
41,12178.0,30120.43,815,7,2,0.25,1
40,64339.0,19615.95,798,23,3,0.2,0
49,44429.0,18202.54,610,16,3,0.71,0
54,44973.0,6503.81,570,11,4,0.82,0
29,16636.0,41711.94,748,13,6,0.72,1
66,72397.0,25267.24,411,11,2,0.64,1
30,28779.0,19630.98,538,24,5,0.31,0
40,31433.0,26199.97,443,1,2,0.71,0
42,21276.0,41843.21,673,11,2,0.61,0
52,14861.0,10607.64,319,26,3,0.05,0
58,64775.0,43594.52,588,13,4,0.91,0
47,69099.0,45387.9,496,6,3,0.08,1
34,33431.0,47601.86,681,28,4,0.5,0
66,25856.0,22886.96,791,25,4,0.51,0
37,30076.0,14771.32,463,25,5,0.84,0
65,30491.0,21813.84,548,12,3,0.91,0
42,19932.0,19981.04,367,20,2,0.94,0
39,31378.0,12926.93,320,3,5,0.57,0
30,39205.0,32327.0,811,0,4,0.68,0
36,60420.0,26448.09,689,16,1,0.09,0
66,36575.0,43956.54,835,2,0,0.49,0
53,16512.0,6444.93,410,29,3,0.9,0
29,43338.0,33974.06,759,16,5,0.46,1
58,31953.0,39332.7,377,7,4,0.07,1
36,72056.0,39176.9,733,2,9,0.2,0
29,74216.0,44873.33,679,26,1,0.43,0
26,75526.0,37806.52,739,9,2,0.24,0
24,27425.0,46751.45,638,1,3,0.39,0
45,98216.0,19969.55,723,21,7,0.33,0
31,43281.0,27644.42,468,3,4,0.32,0
48,81895.0,5633.58,561,28,6,0.09,1
69,28246.0,5313.09,528,28,3,0.88,1
36,31279.0,15805.7,460,13,4,0.69,0
64,41648.0,9536.32,726,10,2,0.62,0
33,39181.0,16709.51,421,13,1,0.61,0
22,68010.0,12966.95,448,12,1,0.4,0
52,32336.0,6283.4,410,26,2,0.82,0
29,65011.0,45918.69,520,28,1,0.93,0
42,52371.0,5370.04,363,3,3,0.01,0
69,32640.0,38123.7,653,1,1,0.08,0
38,50379.0,11846.65,773,1,2,0.67,0
53,28663.0,46050.33,784,10,2,0.24,1
40,117607.0,45175.82,312,21,2,0.91,0
33,9584.0,34425.55,452,4,5,0.67,0
56,50842.0,35250.54,538,8,2,0.37,0
62,15028.0,5240.26,489,19,5,0.42,0
59,32441.0,49319.22,385,20,5,0.69,0
56,34794.0,44502.47,320,16,3,0.14,0
31,77174.0,45279.78,618,11,4,0.88,0
48,25692.0,34666.0,457,27,2,0.0,0
22,69843.0,20515.41,780,17,0,0.98,0
52,20143.0,45214.19,375,2,1,0.17,0
40,71206.0,18118.26,628,4,5,0.74,0
46,28648.0,30322.02,715,27,5,0.04,0
60,37674.0,9487.89,502,20,5,0.43,0
28,30694.0,46488.0,528,19,2,0.63,0
35,68953.0,11334.67,451,13,10,0.07,0
64,62559.0,15120.36,371,15,0,0.44,0
29,45331.0,30116.04,524,25,4,0.3,0
26,20416.0,39384.19,772,18,1,0.5,0
27,25400.0,32870.81,659,8,3,0.5,0
61,21714.0,15446.03,839,16,3,0.79,0
34,11801.0,5042.44,345,21,4,0.12,0
55,68231.0,39071.78,300,6,1,0.08,0
24,30825.0,49334.33,544,9,0,0.4,0
63,30661.0,41446.09,518,3,4,0.89,0
30,76730.0,25709.3,590,9,3,0.86,0
57,28624.0,45669.53,757,2,5,0.56,0
59,23855.0,23443.15,503,23,4,0.89,0
26,32456.0,28622.03,501,8,2,0.81,0
67,20613.0,26470.84,781,12,4,0.28,0
44,43139.0,25143.07,810,0,0,0.17,0
19,30127.0,39883.58,577,14,1,0.3,0
22,28180.0,28704.6,315,14,4,0.23,1
46,26985.0,19252.27,824,10,0,0.62,0
54,34437.0,16617.12,655,27,6,0.58,1
55,37863.0,6698.63,655,9,4,0.6,0
36,28001.0,31243.78,377,24,6,0.19,0
25,30352.0,15348.26,366,6,4,0.79,0
65,34865.0,11666.03,513,0,4,0.43,0
62,33150.0,34422.35,748,6,0,0.47,0
18,36884.0,35654.42,732,4,2,1.0,0
39,25891.0,38846.97,844,25,3,0.28,1
69,60012.0,27660.96,414,28,1,0.39,0
34,38117.0,45232.46,719,28,2,0.68,0
24,28228.0,47135.42,798,22,3,0.88,0
42,43139.0,41331.69,679,15,2,0.13,0
62,34990.0,33601.71,442,27,3,0.74,0
21,15261.0,18667.44,323,24,1,0.92,0
53,43065.0,49232.52,838,7,4,0.42,0
23,21813.0,17336.13,374,21,2,0.29,0
48,57943.0,14119.56,834,1,1,0.68,0
36,32181.0,24896.94,340,7,4,0.25,0
61,53639.0,7557.83,712,27,1,0.38,0
56,26500.0,49032.25,714,13,6,0.9,0
44,37608.0,31479.51,748,3,3,0.59,0
27,66511.0,30062.84,735,23,3,0.09,1
43,31745.0,34510.83,538,14,5,0.33,0
36,27027.0,27366.06,341,6,3,0.63,1
56,50389.0,6442.86,309,19,5,0.48,0
20,49903.0,32554.01,564,7,2,0.66,0
62,27602.0,37227.82,744,26,3,0.76,0
30,13457.0,23753.71,438,10,6,0.48,0
67,26769.0,39078.3,495,27,6,0.99,0
45,50954.0,15215.06,373,26,3,0.91,0
37,24649.0,14957.45,524,1,3,0.06,0
45,36117.0,12263.76,401,8,3,0.27,0
25,26141.0,21739.76,563,5,1,0.3,0
58,13821.0,43115.54,460,22,5,0.18,1
56,25907.0,42256.04,532,25,3,0.31,0
18,50846.0,22227.09,790,0,4,0.42,0
20,11102.0,31510.34,610,2,1,0.05,0
30,41195.0,37436.73,526,29,3,0.13,0
45,20070.0,15854.3,572,9,5,0.1,1
66,49228.0,12566.35,616,4,3,0.05,0
42,51904.0,48744.32,385,11,1,0.48,0
50,33324.0,32790.08,590,22,3,0.33,0
55,33362.0,49163.71,768,0,3,0.94,0
23,24266.0,20199.02,703,8,4,0.1,0
61,18531.0,36636.43,726,20,2,0.93,0
62,84884.0,15017.16,674,12,6,0.09,0
49,23564.0,16754.01,551,27,2,0.62,1
62,79531.0,28035.6,832,18,4,0.25,1
64,23629.0,19382.82,606,6,2,0.83,0
38,47221.0,12542.97,729,25,7,0.06,0
33,20560.0,16829.63,563,15,7,0.95,0
38,47179.0,6608.68,367,7,2,0.05,0
28,30860.0,36699.06,406,25,5,0.24,0
54,31062.0,27145.25,699,25,3,0.46,0
53,49267.0,9240.94,498,18,3,0.76,0
52,28722.0,12726.23,491,6,1,0.95,0
36,17782.0,9614.05,813,22,2,0.43,0
37,53138.0,32566.68,741,3,4,0.76,0
35,20477.0,9239.47,300,9,5,0.73,0
64,47017.0,38942.7,657,24,2,0.57,0
58,59071.0,5922.99,414,0,2,0.69,0
66,30099.0,16221.91,496,16,0,0.04,0
31,65590.0,45080.0,573,20,5,0.44,0
32,46207.0,37333.91,459,12,2,0.79,0
48,25644.0,8283.57,472,18,2,0.47,0
18,73183.0,41950.67,844,25,4,0.87,0
20,20520.0,27186.58,757,12,6,0.83,0
33,30081.0,43105.24,732,8,1,0.86,0
40,32756.0,32033.29,780,4,2,0.13,0
28,49149.0,35682.49,754,22,1,0.24,0
29,63432.0,49707.57,495,0,2,0.03,0
27,61476.0,15455.1,608,1,2,0.98,0
49,40614.0,33077.55,793,10,1,0.24,0
33,31567.0,25714.46,738,27,4,0.37,1
25,14574.0,6775.34,658,3,2,0.27,0
55,18825.0,5651.18,335,8,2,0.04,0
29,87845.0,10365.29,333,4,0,0.26,0
41,14501.0,34209.13,387,4,2,0.1,0
45,24533.0,30522.34,315,24,4,0.39,0
25,64364.0,29904.33,720,7,3,0.97,0
45,40330.0,6433.55,425,1,1,0.7,0
53,57758.0,26118.63,307,6,7,0.71,0
43,47639.0,46608.03,771,16,2,0.45,0
25,75720.0,22891.63,767,25,3,0.81,0
67,42096.0,33121.51,809,26,3,0.91,0
45,50601.0,40091.84,701,10,5,0.96,0
45,25283.0,40276.64,475,14,1,0.1,0
54,48687.0,28367.6,666,24,3,0.88,0
58,29790.0,43607.84,787,2,1,0.23,0
53,28954.0,22612.01,317,12,3,0.4,0
44,56804.0,44991.19,355,17,3,0.35,0
34,57000.0,15810.22,334,19,5,0.68,0
26,84476.0,17609.74,646,19,5,0.6,0
50,81767.0,7390.43,331,2,2,0.11,0
37,57449.0,40801.18,432,1,1,0.78,0
30,15364.0,23767.49,498,4,2,0.44,0
45,90567.0,15310.25,555,19,1,0.0,0
65,57468.0,15430.56,641,4,4,0.41,0
46,24762.0,45563.0,530,12,5,0.52,0
30,52284.0,42526.25,600,27,5,0.07,0
63,21620.0,29908.89,846,27,0,0.15,0
52,49480.0,32724.99,325,7,5,0.99,0
23,18805.0,26344.65,834,26,1,0.87,0
35,24243.0,22624.99,773,15,2,0.13,0
68,51791.0,46196.46,686,17,2,0.58,0
22,62096.0,10652.57,584,24,0,0.38,0
64,42733.0,23830.11,749,25,3,0.54,0
42,31474.0,20505.29,619,15,1,0.47,1
19,12614.0,27416.78,455,0,4,0.05,0
27,32712.0,25593.43,770,7,3,0.32,0
47,47417.0,28350.03,719,27,3,0.13,0
67,30996.0,11296.35,412,20,5,0.49,0
62,35908.0,28091.37,721,1,3,0.91,0
22,33097.0,15908.85,584,23,4,1.0,0
50,30920.0,13294.91,353,4,1,0.94,0
18,37720.0,7917.54,624,25,1,0.99,1
35,31687.0,39319.37,757,14,4,0.02,0
49,74731.0,24234.89,564,13,2,0.73,0
64,12050.0,33198.97,681,25,3,0.27,0
66,27642.0,37741.7,512,28,1,0.87,1
28,23503.0,35569.25,632,29,3,0.81,0
38,40520.0,26172.53,309,2,4,0.42,1
43,37744.0,22455.43,657,6,2,0.47,0
42,81723.0,21918.2,502,3,4,0.27,1
39,96333.0,33802.2,357,10,9,0.29,0
44,24673.0,27265.75,793,26,4,0.98,0
66,36325.0,43210.95,809,25,2,0.89,0
30,40061.0,44361.59,522,11,5,0.19,0
50,24370.0,12675.22,668,14,0,0.28,0
51,49721.0,11130.51,717,5,2,0.11,1
58,32217.0,33368.04,846,25,2,0.99,1
52,21294.0,18555.16,402,23,4,0.91,0
18,31578.0,5835.68,460,0,1,0.55,0
38,22052.0,44988.92,499,17,3,0.69,0
65,60981.0,15210.53,459,13,7,0.75,0
23,93975.0,46817.63,435,28,1,0.2,0
45,41044.0,37284.55,697,23,3,0.93,0
34,38393.0,39319.41,691,6,3,0.53,0
22,39192.0,14065.77,405,9,3,0.09,0
48,65586.0,15538.75,353,8,1,0.4,0
22,64884.0,28457.05,576,1,1,0.6,0
55,34275.0,12744.49,410,7,2,0.35,0
20,41204.0,18744.43,523,21,7,0.7,0
40,50328.0,19465.81,374,0,5,0.88,0
54,20561.0,12183.35,805,19,5,0.77,1
54,66590.0,14233.23,313,29,2,0.64,0
27,86458.0,40484.83,781,1,8,0.51,1
27,65024.0,12523.81,488,6,5,0.25,0
36,19481.0,6280.58,663,24,4,0.45,0
34,13562.0,33320.97,538,15,3,0.29,0
38,51759.0,48919.24,700,21,5,0.93,1
31,24832.0,19904.62,603,3,2,0.91,1
26,41922.0,10339.51,390,20,4,0.16,0
63,78243.0,30667.43,691,26,0,0.82,0
18,26148.0,45785.94,483,16,2,0.7,0
68,30068.0,40282.78,316,28,3,0.98,0
62,41704.0,33013.21,311,3,7,0.46,0
30,18982.0,19177.54,465,28,5,0.72,0
21,24861.0,29384.61,445,25,5,0.52,0
18,36770.0,9106.02,581,2,3,0.07,0
66,31250.0,35552.54,848,8,1,0.05,0
57,49227.0,37629.32,468,21,2,0.12,0
49,144783.0,48426.42,469,14,2,0.3,0
51,38161.0,16717.88,645,19,5,0.26,1
45,23841.0,5830.54,798,2,1,0.73,0
48,73800.0,29552.38,759,11,3,0.72,0
25,16409.0,36805.57,596,14,2,0.97,0
56,18134.0,40568.34,441,28,2,0.31,0
43,26969.0,13718.25,352,19,3,0.94,0
51,31526.0,16778.88,417,7,5,0.61,1
20,26648.0,28066.59,664,11,3,0.5,0
67,35748.0,19877.04,435,20,1,0.67,0
29,41663.0,43723.02,713,12,3,0.7,0
18,61975.0,26319.21,376,14,1,0.17,0
61,38010.0,40981.04,317,10,3,0.75,0
22,27420.0,31127.89,702,16,2,0.73,0
47,60314.0,39789.06,504,20,5,1.0,0
47,24128.0,19970.28,798,23,4,0.91,0
34,16054.0,42413.75,623,26,5,0.68,0
65,66369.0,17355.75,580,11,1,0.71,0
64,64275.0,29574.45,465,19,1,0.95,0
40,24437.0,14630.32,542,29,1,0.97,0
32,29746.0,26398.69,778,17,2,0.83,0
54,22961.0,19317.88,463,28,2,0.77,0
38,42758.0,17001.65,623,15,1,0.11,0
31,86338.0,48514.33,507,2,1,0.83,0
19,51608.0,12203.33,614,29,4,0.25,0
28,60953.0,40429.66,603,26,6,0.56,0
68,54713.0,49287.42,538,8,3,0.41,0
56,36313.0,5895.57,523,29,1,0.35,1
55,62422.0,36456.23,387,6,6,0.31,0
51,52708.0,16381.03,836,18,2,0.86,0
55,74587.0,6821.95,728,4,3,0.77,0
67,28860.0,23130.03,519,18,7,0.52,1
51,15229.0,47084.8,574,9,3,0.66,0
35,61244.0,5529.43,365,19,5,0.98,0
47,43256.0,31454.86,722,11,4,0.4,0
32,31319.0,27562.84,554,7,4,0.55,0
44,32207.0,44302.29,424,29,4,0.53,0
68,130267.0,8780.08,445,2,6,0.94,0
51,26342.0,35668.67,684,18,3,0.35,1
69,23703.0,35604.94,746,26,3,0.99,0
55,37898.0,35108.6,686,10,4,0.3,0
50,65529.0,47405.05,682,7,7,0.11,0
41,113459.0,42038.94,576,25,2,0.19,0
32,50447.0,6888.77,681,12,1,0.43,0
47,19241.0,26198.73,423,25,2,0.65,0
59,97288.0,22907.89,566,22,3,0.52,0
68,35964.0,18956.62,410,22,2,0.38,0
34,23888.0,25310.15,680,9,3,0.56,0
22,21169.0,22288.74,457,17,4,0.84,1
46,55169.0,24455.03,847,11,0,0.84,1
21,40922.0,49066.78,417,6,5,0.73,0
27,43154.0,8988.48,627,25,0,0.95,0
34,69096.0,46500.39,367,10,5,0.59,0
27,24317.0,26610.65,733,9,4,0.01,0
34,71903.0,33068.4,658,2,4,0.29,0
37,28013.0,42358.23,742,29,4,0.33,0
41,107152.0,21220.84,463,6,2,0.55,0
22,48990.0,24368.99,660,28,1,0.9,0
51,22923.0,23428.33,418,3,2,0.84,0
23,13191.0,21862.9,494,28,5,0.23,0
19,54419.0,46648.82,540,7,2,0.52,0
30,30119.0,42301.85,808,7,1,0.66,0
60,33598.0,9905.0,441,5,5,0.99,0
60,53268.0,9865.55,330,12,3,0.03,0
65,60187.0,24254.13,522,11,1,0.46,0
28,66960.0,9439.58,565,2,0,0.99,0
68,20183.0,32859.19,581,5,5,0.98,0
64,74083.0,11466.12,680,21,3,0.33,1
40,27187.0,28506.8,361,18,3,0.0,0
33,11753.0,5324.9,820,10,2,0.59,0
48,20146.0,19246.84,370,3,2,0.87,0
28,40498.0,35473.58,835,14,3,0.32,0
33,22261.0,26781.75,439,1,2,0.93,0
25,34751.0,49022.13,615,14,5,0.33,0
21,43007.0,44334.67,639,16,3,0.61,0
57,33167.0,21158.19,827,1,4,0.72,0
21,28362.0,7046.89,840,6,3,0.35,0
42,19432.0,43053.18,715,25,5,0.35,0
20,36716.0,46005.54,766,15,1,0.47,0
49,12933.0,41928.23,674,4,3,0.84,0
20,25771.0,10757.75,590,15,4,0.1,1
44,22836.0,49906.18,342,24,2,0.63,0
46,32219.0,16636.29,352,18,1,0.68,0
49,32641.0,37589.22,531,1,1,0.56,0
67,58687.0,45861.57,511,14,3,0.94,0
68,80157.0,15605.92,307,3,3,0.6,0
36,20767.0,45871.63,782,1,1,0.63,0
38,98363.0,18926.67,341,26,6,0.6,0
22,24596.0,48938.6,632,22,2,0.72,0
35,39587.0,17656.7,532,9,1,0.14,0
45,46884.0,47904.61,369,21,6,0.89,0
59,123290.0,7409.51,315,23,3,0.04,0
39,27691.0,36917.24,368,28,1,0.64,0
38,14789.0,28945.0,352,4,2,0.62,0
23,76511.0,26504.47,678,17,2,0.21,0
18,23940.0,15057.24,762,28,4,0.04,0
22,30309.0,36751.81,826,3,3,0.14,0
58,20767.0,13586.43,362,0,3,0.27,0
29,30353.0,29877.88,560,17,5,0.88,0
43,23856.0,16396.04,799,19,1,0.86,1
63,50931.0,48002.96,420,5,3,0.06,0
51,37813.0,6288.4,539,19,5,0.29,0
66,25835.0,13987.77,764,19,3,0.89,0
31,59751.0,15903.98,406,13,3,0.24,0
43,41254.0,23633.05,479,26,2,1.0,0
62,14429.0,15472.86,315,25,4,0.26,0
44,57518.0,27110.71,654,9,4,0.74,0
26,39832.0,44260.95,608,17,4,0.42,0
43,72792.0,37042.85,480,8,0,0.14,0
64,38637.0,31098.29,473,11,4,0.26,0
39,24444.0,9005.14,653,9,2,0.68,0
64,32789.0,36229.64,653,23,2,0.34,0
47,54283.0,12488.64,518,23,5,0.6,0
60,24702.0,40386.53,614,20,3,0.21,0
65,29140.0,16252.55,733,18,2,0.45,0
34,32505.0,23767.19,581,5,5,0.51,0
43,20441.0,20771.16,558,13,2,0.41,0
53,24880.0,43646.63,304,24,1,0.2,0
18,39588.0,10694.5,693,7,3,0.46,0
25,66253.0,30454.02,635,22,3,0.69,0
66,42556.0,11392.77,362,13,1,0.96,0
52,35492.0,36715.81,343,10,3,0.79,0
69,23965.0,45728.52,452,23,1,0.16,0
32,62792.0,24557.34,455,15,4,0.27,1
64,45105.0,26964.15,777,19,3,0.08,0
39,25505.0,46734.03,574,5,4,0.14,0
31,56916.0,28444.61,657,14,3,0.25,0
43,48040.0,26941.93,725,14,6,0.2,0
45,24179.0,31024.81,831,13,1,0.21,0
40,34521.0,36015.34,782,20,3,0.23,0
31,28385.0,9809.75,513,11,5,0.3,1
41,135506.0,41949.97,378,1,2,0.13,0
19,47376.0,24597.73,438,7,3,0.28,0
62,39870.0,8255.68,397,18,2,0.69,0
43,45997.0,40378.22,497,13,5,0.24,0
31,72372.0,21962.75,455,4,0,0.17,0
68,34833.0,9516.54,349,23,1,0.07,0
24,27039.0,33520.06,778,26,3,0.5,0
20,55389.0,44605.91,527,8,3,0.84,0
64,33274.0,44948.91,756,12,4,0.06,0
40,21270.0,48094.86,821,8,4,0.54,0
63,19296.0,44046.75,448,13,4,0.65,1
60,78014.0,5096.34,357,4,5,0.59,0
64,38786.0,22110.85,461,1,3,0.88,1
62,27044.0,41834.42,776,6,4,0.87,0
35,32300.0,21481.39,406,15,0,0.06,1
55,54378.0,32069.68,726,10,4,0.36,0
52,31360.0,32284.26,694,10,4,0.67,1
68,17594.0,21426.14,485,22,1,0.95,0
32,42741.0,45701.33,745,11,5,0.8,0
42,66448.0,27645.28,747,12,2,0.18,0
54,64263.0,25915.29,386,7,2,0.28,0
45,27456.0,49888.12,548,23,3,0.76,0
27,68500.0,27207.52,739,15,4,0.47,1
56,40396.0,13027.92,556,20,4,0.55,0
34,67547.0,28088.12,576,0,2,0.61,0
56,48380.0,41630.75,737,12,1,0.1,1
39,16970.0,39958.71,815,10,5,0.86,0
43,86974.0,40486.18,501,28,4,0.86,1
61,37268.0,36861.07,479,3,5,0.47,1
42,48455.0,16439.8,624,3,3,0.63,0
34,18545.0,43793.78,774,14,3,0.66,0
30,46754.0,45204.96,699,26,2,0.19,1
37,63036.0,13736.87,516,2,3,0.11,0
42,95574.0,10870.5,752,23,1,0.02,0
21,73145.0,48902.22,703,18,2,0.91,0
27,47912.0,44074.58,539,28,4,0.35,0
20,16778.0,45195.63,485,20,2,0.09,0
58,38798.0,44886.94,347,1,5,0.47,0
62,27004.0,29375.91,685,5,4,0.08,0
35,40843.0,34088.08,507,21,2,0.09,0
64,19768.0,29541.33,456,23,4,0.49,0
53,32693.0,7304.29,524,7,1,0.51,0
64,28041.0,38547.64,443,16,4,0.58,0
39,27610.0,27739.94,718,4,2,0.66,0
51,27747.0,34146.91,410,1,7,0.67,0
64,33931.0,27618.79,764,25,3,0.43,0
25,41902.0,27131.51,431,11,2,0.64,0
57,10412.0,12730.51,633,4,6,0.3,0
66,11068.0,17542.12,374,9,1,0.44,0
61,30658.0,12148.37,711,27,2,0.39,0
36,32896.0,13804.98,818,8,4,0.33,0
59,39917.0,48783.98,335,19,7,0.24,0
58,25239.0,11890.11,522,7,5,0.08,0
54,36488.0,17117.17,829,0,2,0.51,0
23,38687.0,31576.53,540,23,4,0.54,0
69,25153.0,32458.04,433,5,5,0.34,0
43,60278.0,11928.84,690,23,2,0.98,1
51,39676.0,40717.28,401,21,2,0.56,0
62,47738.0,40334.13,797,10,1,0.89,0
23,37587.0,15679.3,810,2,1,0.57,0
54,103968.0,17989.98,836,27,3,0.19,0
50,48933.0,47209.45,844,14,4,0.97,0
39,28453.0,42155.22,642,10,2,0.89,0
38,54747.0,36400.87,305,23,1,0.47,1
23,16014.0,8700.49,493,4,1,0.24,0
23,38553.0,23821.88,436,27,5,0.22,0
65,42599.0,30168.58,772,25,1,0.81,0
21,38774.0,13433.51,515,15,2,0.07,0
47,30734.0,25170.2,648,20,2,0.64,0
28,21892.0,32046.16,482,27,1,0.64,0
47,24473.0,19731.95,467,6,4,0.18,0
48,38217.0,40142.52,337,5,2,0.7,0
41,20811.0,42820.23,770,8,2,0.71,0
26,87999.0,19562.43,751,6,2,0.35,0
20,9697.0,42739.57,789,2,4,0.48,0
68,30893.0,9660.95,441,10,8,0.83,0
48,38376.0,42697.81,402,26,2,0.52,0
57,46803.0,11873.77,341,11,3,0.62,0
54,22972.0,8731.72,446,20,3,0.41,0
53,64033.0,33879.89,365,24,0,0.15,0
41,18089.0,26237.18,492,10,3,1.0,0
48,27363.0,45855.08,597,28,3,0.53,0
23,49532.0,21343.51,337,25,7,0.34,0
19,61089.0,17921.85,801,29,3,0.71,1
37,17998.0,27533.07,727,1,2,0.62,0
45,136287.0,25517.58,651,0,0,0.23,0
28,23185.0,20499.26,625,26,5,0.88,0
21,18843.0,36218.36,337,23,2,0.07,1
32,46693.0,39180.28,396,23,2,0.61,1
23,30511.0,43384.28,407,1,3,0.48,0
66,28338.0,48778.55,450,13,2,0.32,0
47,48914.0,16999.53,373,12,1,0.83,0
55,16922.0,37224.21,356,23,5,0.66,0
68,15505.0,22741.62,634,4,2,0.76,0
19,26938.0,35468.69,551,1,2,0.41,0
32,62252.0,26419.18,553,22,4,0.94,0
28,27528.0,49719.79,684,22,1,0.34,0
25,80788.0,37800.6,755,18,1,0.53,0
43,66205.0,47862.11,558,29,3,0.93,0
68,41834.0,42573.63,764,16,1,0.08,0
62,43039.0,45630.55,333,10,2,0.11,0
61,41815.0,41648.86,794,15,5,0.99,0
22,39335.0,25662.16,625,19,3,0.97,0
23,30239.0,16330.48,537,17,2,0.77,0
43,32045.0,21664.41,840,19,1,0.48,0
21,21269.0,5910.63,765,7,4,0.51,0
36,12028.0,28579.69,603,1,5,0.26,0
37,63072.0,27727.6,416,16,3,0.43,0
50,39286.0,28636.27,506,10,6,0.43,1
37,36428.0,48831.41,780,13,5,0.04,0
66,44321.0,46015.43,702,15,4,0.45,0
29,24000.0,12277.08,532,14,4,0.48,0
64,22015.0,21599.71,583,14,2,0.67,0
18,31513.0,24078.03,779,2,3,0.52,0
43,71973.0,21223.98,308,25,6,0.86,0
31,20244.0,40932.32,678,6,3,0.37,0
55,9764.0,28581.7,680,28,1,0.41,0
54,27982.0,30744.49,659,11,5,0.57,0
28,64302.0,43385.61,475,21,3,0.2,0
53,15271.0,41266.77,784,21,1,0.39,1
30,20128.0,10949.52,704,22,2,0.69,1
60,41431.0,37126.16,332,23,2,0.41,0
20,131262.0,24594.63,764,2,1,0.91,0
50,18415.0,18259.2,456,18,4,0.62,0
23,18061.0,7250.85,501,9,3,0.15,0
67,43017.0,26926.23,474,28,5,0.49,1
27,66326.0,20994.65,543,7,2,0.76,0
22,26581.0,16318.09,568,15,2,0.64,1
40,16144.0,36260.23,745,15,1,0.89,0
27,45111.0,39626.84,373,11,5,0.75,0
61,49386.0,16015.53,395,28,4,0.06,0
19,88374.0,7225.13,472,29,3,0.11,0
30,50437.0,43193.87,705,28,5,0.65,0
57,54942.0,5448.19,454,22,2,0.24,0
19,31854.0,47170.06,482,25,4,0.59,0
37,123100.0,33242.89,622,4,1,0.79,0
18,29760.0,19483.1,588,19,0,0.58,1
54,26743.0,16091.51,557,5,3,0.42,0
26,89748.0,5405.25,473,24,3,0.65,0
34,17377.0,15596.21,629,5,6,0.14,0
26,14419.0,11197.77,530,7,2,0.72,1
28,38553.0,32547.48,460,16,4,0.7,1
32,36284.0,12494.55,485,11,2,0.51,0
41,32405.0,28788.34,442,29,1,0.28,0
55,59693.0,31555.24,581,21,5,0.8,0
52,23061.0,18411.88,326,29,4,0.51,0
47,37500.0,6577.92,545,13,1,0.06,1
48,30332.0,6676.42,786,1,2,0.92,0
66,23258.0,6185.63,501,18,5,0.77,1
22,35210.0,38260.61,320,5,1,0.58,0
61,55620.0,19310.44,393,17,3,0.44,0
67,104850.0,40833.51,307,3,5,0.96,0
31,48519.0,24427.98,771,21,2,0.78,0
28,10348.0,25384.91,638,4,2,0.53,1
26,35630.0,28079.72,558,5,3,0.65,0
51,37231.0,37086.42,354,14,2,0.28,0
29,57995.0,17307.63,847,5,3,0.2,0
52,39831.0,10471.43,305,7,2,0.27,0
52,67951.0,30022.58,676,8,4,0.29,0
18,44172.0,19713.99,349,20,3,0.74,0
57,79174.0,24912.11,411,21,4,0.14,0
39,29162.0,34112.6,445,5,5,0.78,0
46,39033.0,27235.66,529,21,3,0.52,0
25,54903.0,32912.55,796,1,1,0.38,0
28,27280.0,29489.0,605,15,1,0.3,0
58,24465.0,38290.84,841,19,2,0.51,0
54,26511.0,36767.15,760,0,3,0.32,0
31,24969.0,29038.55,525,29,5,0.43,0
47,47159.0,35550.64,358,27,2,0.74,0
52,14510.0,44310.18,375,15,1,0.63,1
38,16681.0,24452.21,727,0,7,0.75,0
54,92168.0,23574.34,431,0,5,0.71,1
22,25272.0,39391.05,797,6,2,0.82,0
36,40135.0,31214.92,604,15,2,0.2,0
31,17248.0,8195.31,366,16,2,1.0,0
43,38065.0,45145.04,529,15,2,0.48,0
21,25349.0,6385.24,632,15,1,0.72,0
